name,description,status,purchase_date,manufacturer,model_number,assigned_to,location,location_x,location_y
Solder Seal Wire Connectors,,available,,,,,Electrical Toolbox,,
Galvanized Steel Wire,,available,,,,,Electrical Toolbox,,
Painters Tape,,available,,,,,Electrical Toolbox,,
Car OBD2 Reader,,available,,,,,Electrical Toolbox,,
Mini Magnetic Driver Set,,available,,,,,Electrical Toolbox,,
Sponge Brushes,,available,,,,,Electrical Toolbox,,
Manual Stapler,,available,,,,,Electrical Toolbox,,
Electrical Tape,,available,,,,,Electrical Toolbox,,
Plumbers Tape,,available,,,,,Electrical Toolbox,,
Voltmeter 1,,available,,,,,Electrical Toolbox,,
Voltmeter 2,,available,,,,,Electrical Toolbox,,
Outlet Tester,,available,,,,,Electrical Toolbox,,
Carpet Chisel,,available,,,,,Spare Room,,
Light Bulbs,,available,,,,,Spare Room,,
Exterior Wood Screws,,available,,,,,Spare Room,,
Drywall Screws,,available,,,,,Spare Room,,
Moisture Meter,,available,,,,,Spare Room,,
Carpenter Clamp,,available,,,,,Spare Room,,
Insulated Foil Temperature Control Roll,,available,,,,,Bin Number Two Yellow Cap,,
Flexible Soft Trim Molding,,available,,,,,Bin Number Two Yellow Cap,,
Auto Paper Towels,,available,,,,,Bin Number Two Yellow Cap,,
Welding Apron,,available,,,,,Bin Number Two Yellow Cap,,
PVC Piping Misc,,available,,,,,Bin Number Two Yellow Cap,,
Trim Tape,,available,,,,,Bin Number Two Yellow Cap,,
Large Funnel,,available,,,,,Bin Number Two Yellow Cap,,
Foam Sprayer,,available,,,,,Bin Number Two Yellow Cap,,
Snow and Ice Tread,,available,,,,,Bin Number Two Yellow Cap,,
Blue Wire 18AWG 4 Wire,,available,,,,,Bin Number Two Yellow Cap,,
Plumbing Copper Pipe,,available,,,,,Bin Number Two Yellow Cap,,
Scotch Painters Tape,,available,,,,,Bin Number Two Yellow Cap,,
Bag Zip Ties,,available,,,,,Bin Number Two Yellow Cap,,
Extension Cord Two Out Long,,available,,,,,Bin Number Two Yellow Cap,,
Outlet Extension Cord 6 Outlet,,available,,,,,Bin Number Two Yellow Cap,,
Electric Car Polisher,,available,,,,,Bin Number Two Yellow Cap,,
Front Tow Hitch?,,available,,,,,Bin Number Two Yellow Cap,,
Two Small Blue Tarps,,available,,,,,Bin Number Two Yellow Cap,,
Two Moving Tarps,,available,,,,,Bin Number Two Yellow Cap,,
Appliance Harness,,available,,,,,Bin Number Two Yellow Cap,,
Wireless Access Points (Over Dozen),,available,,,,,Bin Number 1/I Grey Bin Left of Rack,,
Keyboards,,available,,,,,Bin Number 1/I Grey Bin Left of Rack,,
Video Cables,,available,,,,,Bin Number 1/I Grey Bin Left of Rack,,
Weather Seal Vinyl Foam,,available,,,,,Bin Number 1 Yellow Cap,,
New Towel Ring,,available,,,,,Bin Number 1 Yellow Cap,,
Pneumatic Feed Gravity Spray Gun,,available,,,,,Bin Number 1 Yellow Cap,,
Water-Based Floor Finish Pad,,available,,,,,Bin Number 1 Yellow Cap,,
Large Drywall Metal Repair Sheet,,available,,,,,Bin Number 1 Yellow Cap,,
Floor Finish Holder,,available,,,,,Bin Number 1 Yellow Cap,,
Drywall Repair Patch,,available,,,,,Bin Number 1 Yellow Cap,,
Sanding Belt Cleaner Bar,,available,,,,,Bin Number 1 Yellow Cap,,
36 Grit Circular Belt Sander,,available,,,,,Bin Number 1 Yellow Cap,,
Wet Dry Sandpaper 220 to 1200 Grit,,available,,,,,Bin Number 1 Yellow Cap,,
Smoke Alarms (4),,available,,,,,Bin Number 1 Yellow Cap,,
Wall Repair Tape,,available,,,,,Bin Number 1 Yellow Cap,,
Drywall Tape Fiber Compound,,available,,,,,Bin Number 1 Yellow Cap,,
Hawk,,available,,,,,Bin Number 1 Yellow Cap,,
Light Duty Staples,,available,,,,,Bin Number 1 Yellow Cap,,
Drywall Inside Corner Tool,,available,,,,,Bin Number 1 Yellow Cap,,
Hook and Loop 80 Grit Sandpaper Discs,,available,,,,,Bin Number 1 Yellow Cap,,
Rubber Window Seal,,available,,,,,Bin Number 1 Yellow Cap,,
Hook and Loop 220 Finish Sandpaper Discs,,available,,,,,Bin Number 1 Yellow Cap,,
Hook and Loop 120 Sandpaper Discs,,available,,,,,Bin Number 1 Yellow Cap,,
1500 and 2000 Grit Car Sandpaper,,available,,,,,Bin Number 1 Yellow Cap,,
Drywall Sanding Screen,,available,,,,,Bin Number 1 Yellow Cap,,
Pack of Wood Shims,,available,,,,,Bin Number 1 Yellow Cap,,
Two Packs of Floor Finish Pad,,available,,,,,Bin Number 1 Yellow Cap,,
Two Wide Dry Knives,,available,,,,,Bin Number 1 Yellow Cap,,
Grout Float,,available,,,,,Bin Number 1 Yellow Cap,,
300 Feet Plastic Cable Outdoor Tubing,,available,,,,,Bin Number 4 Yellow Cap,,
Measuring Square,,available,,,,,Bin Number 4 Yellow Cap,,
Paint Trays,,available,,,,,Bin Number 4 Yellow Cap,,
Window Caulking Seal,,available,,,,,Bin Number 4 Yellow Cap,,
Assorted Caulk (A Dozen),,available,,,,,Bin Number 4 Yellow Cap,,
Acrylic Silicone,,available,,,,,Bin Number 4 Yellow Cap,,
Rubberized Flashing Cement,,available,,,,,Bin Number 4 Yellow Cap,,
Whitewood Fill,,available,,,,,Bin Number 4 Yellow Cap,,
Painters Tarp,,available,,,,,Bin Number 4 Yellow Cap,,
Caulk Gun,,available,,,,,Bin Number 4 Yellow Cap,,
Two Paint Rollers,,available,,,,,Bin Number 4 Yellow Cap,,
